id_envio,centro_distribucion,transportista,tipo_servicio,dia_semana,distancia_km,peso_kg,volumen_m3,n_paradas,temperatura_ambiente_c,costo_combustible_usd,tiempo_transito_h,calificacion_cliente,retraso
102374,CD-Montevideo,TR-057,Express,viernes,325.12,3.73,,1,15.3,26.39,6.02,4.8,0
100454,CD-Montevideo,TR-036,Express,viernes,15.04,7.59,0.048,12,22.9,12.48,5.46,4.4,0
103589,CD-Salto,TR-097,Estándar ,martes,22.47,4.86,0.0468,11,21.3,15.92,4.41,3.1,0
103502,CD-Montevideo,TR-012,Estándar,martes,20.22,6.83,,8,16.1,11.8,4.33,4.5,0
100524,CD-Canelones,TR-079,ECONÓMICO,jueves,36.92,6.27,0.0669,8,24.8,7.9,12.63,3.5,1
103012,CD-Montevideo,TR-109,Económico,jueves,42.22,3.87,0.0649,10,17.1,13.95,4.52,3.9,0
100662,CD-Montevideo,TR-036,Estándar,jueves,26.33,4.94,0.0416,5,20.0,11.76,2.01,3.6,0
103441,CD-Montevideo,TR-001,Express,lunes,35.76,2.13,0.0396,8,20.4,8.77,2.59,4.4,0
100538,CD-Montevideo,TR-104,Express,lunes,21.68,4.83,0.0364,9,22.9,16.69,3.34,4.7,0
100495,CD-Salto,TR-071,Económico,martes,27.41,3.82,0.0307,6,24.2,13.57,2.55,3.5,0
101547,CD-Maldonado,TR-055,Estándar,martes,241.75,6.34,0.0376,2,11.4,13.97,5.43,3.5,0
102148,CD-Montevideo,TR-001,Estándar,lunes,213.76,5.69,0.0413,2,17.6,16.52,5.02,4.4,0
103297,CD-Salto,TR-016,Estándar,lunes,20.12,2.41,0.0202,4,,9.5,2.66,4.0,0
102468,CD-Montevideo,TR-116,Express,jueves,249.2,3.45,0.0605,3,26.1,16.06,5.25,3.8,0
102718,CD-Montevideo,TR-012,Estándar,martes,180.91,3.09,0.0314,3,25.8,14.96,3.75,4.7,0
102386,CD-Montevideo,TR-023,económico,miércoles,271.9,6.24,,3,16.4,21.82,5.95,3.0,0
102439,CD-Maldonado,TR-061,Estándar,lunes,40.69,0.0,0.0477,11,13.5,17.3,3.43,3.7,0
101967,CD-Montevideo,TR-102,Estándar,sábado,27.07,2.14,0.0312,10,24.0,14.17,4.63,4.8,0
101793,CD-Salto,TR-110,Estándar,lunes,30.45,8.01,0.0449,12,,15.41,3.78,4.4,0
101015,CD-Montevideo,TR-013,Express,miércoles,18.96,10.26,0.0516,13,21.2,15.64,4.13,4.5,0
100681,CD-Montevideo,TR-041,Estándar,miércoles,27.19,6.56,0.0449,9,25.1,14.53,2.79,2.9,0
101437,CD-Montevideo,TR-001,Estándar,miércoles,29.97,4.92,0.0318,9,13.5,17.4,2.53,4.1,0
103544,CD-Canelones,TR-051,Express,viernes,10.99,7.24,0.069,7,25.5,9.37,3.11,4.3,0
100346,CD-Salto,TR-075,Estándar,martes,25.44,9.07,,5,,11.71,2.52,4.3,0
103284,CD-Montevideo,TR-031,Express ,miércoles,260.17,10.23,0.0763,2,25.7,18.89,5.01,3.7,0
100487,CD-Salto,TR-117,Estándar,martes,26.12,5.65,0.0445,11,,16.0,2.03,,0
101736,CD-Maldonado,TR-068,Express,lunes,27.31,6.47,0.0418,10,16.8,14.88,3.9,4.5,0
100237,CD-Salto,TR-090,Estándar,miércoles,253.68,2.7,0.0395,4,,15.83,7.56,4.6,0
100413,CD-Montevideo,TR-092,Estándar,lunes,40.29,4.25,0.0463,3,17.8,14.0,2.0,3.7,0
102394,CD-Montevideo,TR-101,económico,viernes,216.47,7.17,0.0624,1,23.0,16.55,4.96,4.3,0
102423,CD-Canelones,TR-103,Express,martes,23.83,4.02,0.0337,2,-99.0,5.96,3.85,4.9,0
100416,CD-Montevideo,TR-015,ECONÓMICO,lunes,29.46,5.66,0.0527,9,16.7,13.66,3.84,,0
100489,CD-Maldonado,TR-067,Estándar,miércoles,35.99,5.85,0.0586,9,23.5,12.19,3.34,4.0,0
101901,CD-Salto,TR-053,EXPRESS,viernes,263.08,13.82,0.0747,4,25.8,16.33,5.59,3.9,1
101427,CD-Montevideo,TR-025,Estándar,viernes,316.06,7.82,0.0606,3,27.4,26.93,7.88,4.0,0
103183,CD-Montevideo,TR-038,ECONÓMICO,lunes,161.51,14.52,0.0782,1,23.8,13.68,5.27,4.5,0
102424,CD-Montevideo,TR-018,Estándar,lunes,239.67,10.64,0.0746,1,28.5,20.69,4.2,4.5,0
101505,CD-Montevideo,TR-004,Económico,sábado,39.24,0.0,0.062,6,22.7,5.48,4.61,4.2,0
102469,CD-Canelones,TR-033,Express,viernes,29.99,7.27,0.0507,6,14.4,9.61,3.7,4.3,0
103377,CD-Maldonado,TR-017,Express,jueves,44.65,5.28,0.0597,11,21.6,15.82,4.22,3.4,0
101741,CD-Salto,TR-002,Express ,jueves,33.15,16.87,0.0889,4,21.6,10.53,2.78,4.4,0
102255,CD-Canelones,TR-108,Express,miércoles,33.22,9.33,0.055,4,15.2,15.58,1.97,4.9,0
102875,CD-Salto,TR-115,Estándar,lunes,325.39,5.24,,3,22.2,22.95,6.59,4.1,0
101651,CD-Montevideo,TR-094,ECONÓMICO,jueves,15.32,5.0,0.0584,9,15.2,8.29,2.52,4.3,0
101749,CD-Montevideo,TR-011,ESTÁNDAR,viernes,23.79,1.7,0.0367,8,18.9,14.67,4.5,3.8,1
101986,CD-Canelones,TR-029,Estándar,martes,38.48,0.0,0.0275,6,25.5,9.73,2.44,3.9,0
102154,CD-Montevideo,TR-069,Estándar,sábado,239.96,7.52,,3,22.6,19.12,4.81,3.9,0
100461,CD-Montevideo,TR-098,Estándar,miércoles,29.07,4.67,0.0535,6,16.6,13.94,2.77,3.9,0
103074,CD-Montevideo,TR-052,ESTÁNDAR,sábado,23.81,7.57,0.0621,4,18.1,4.51,2.39,,0
100464,CD-Montevideo,TR-013,Estándar,lunes,20.87,5.62,,5,25.8,8.18,1.43,3.0,1
102305,CD-Montevideo,TR-078,Estándar,lunes,33.8,0.79,0.0229,4,18.0,7.29,4.55,2.6,1
103292,CD-Salto,TR-006,Express,martes,19.93,4.33,0.0438,7,,11.52,3.37,3.8,0
102750,CD-Montevideo,TR-093,Express,miércoles,26.19,2.47,0.0495,6,13.2,8.31,3.5,4.5,0
101655,CD-Montevideo,TR-034,Estándar ,miércoles,34.12,9.81,0.0843,7,26.8,11.51,2.14,4.3,0
103375,CD-Canelones,TR-013,express,lunes,245.29,5.73,0.0483,3,16.5,21.12,5.53,3.4,0
100889,CD-Canelones,TR-033,Económico,lunes,28.64,2.23,0.021,9,23.5,15.33,5.2,,0
102865,CD-Salto,TR-053,Económico,jueves,215420.0,6.58,0.0918,2,14.0,18.32,4.75,3.8,0
102595,CD-Montevideo,TR-042,Express,viernes,27.46,1.96,,11,19.3,15.46,3.97,3.5,1
102955,CD-Salto,TR-002,estándar,viernes,241.19,7.51,0.0685,3,,15.76,5.44,4.2,0
103360,CD-Canelones,TR-005,Estándar,lunes,36.01,2.9,0.0292,7,21.2,17.8,2.41,4.0,0
102106,CD-Salto,TR-085,Económico,miércoles,25.21,2.62,0.0256,4,20.1,10.51,0.92,4.0,0
100954,CD-Maldonado,TR-078,Estándar,lunes,32.16,2.14,0.0364,10,11.7,17.86,1.99,2.8,0
101260,CD-Salto,TR-106,ECONÓMICO,miércoles,10.41,8.04,0.0543,5,15.8,5.54,3.27,1.0,1
101107,CD-Canelones,TR-075,Express,martes,22.0,7.63,0.07,10,17.2,13.5,3.27,4.8,0
101670,CD-Montevideo,TR-089,Express,lunes,21.53,6.16,0.036,5,18.3,6.85,3.0,4.5,0
